chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
partitioning_by_offset_offset_0 -> iteration_duplicate,0.4656,0.25,0.7188,0.7188,0.5,0.0,0.25,0.7188,0.0,0.5,0.0,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.75,0.75,0.75
partitioning_by_offset_offset_0 -> permutation_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> extension_append_boundary_side_first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> iteration_duplicate,0.3,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
partitioning_by_offset_offset_1 -> permutation_reverse,0.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,0.2667,0.4167,0.6667,0.3333,0.0,0.3333,0.4167,0.6667,0.3333,0.0,0.3333,0.0,1.0,0.3333,0.3333,0.6667,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.6667,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667
partitioning_by_offset_offset_1 -> reindexing_rotate_k_1,0.6,0.5625,0.25,0.25,1.0,0.0,0.5625,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0
permutation_reverse,0.4188,0.3438,0.6875,0.4375,0.5,0.25,0.3438,0.6875,0.5,0.5,0.5,0.5,1.0,0.25,0.0,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.25,0.0,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.75
permutation_reverse -> extension_append_boundary_side_last,0.1875,0.0,0.25,0.25,0.375,0.0,0.0,0.25,0.25,0.375,0.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
permutation_reverse -> iteration_duplicate,0.375,0.0,0.5,0.5,0.75,0.0,0.0,0.5,0.0,0.75,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
permutation_reverse -> partitioning_by_offset_offset_0,0.4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
permutation_reverse -> partitioning_by_offset_offset_1,0.35,0.125,0.0,0.0,1.0,0.0,0.125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
