chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
partitioning_by_offset_offset_0 -> permutation_reverse,0.1125,0.0,0.375,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
partitioning_by_offset_offset_1 -> extension_append_boundary_side_first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> iteration_duplicate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> permutation_reverse,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,0.1167,0.2917,0.1667,0.0,0.0,0.3333,0.2917,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.3333
partitioning_by_offset_offset_1 -> reindexing_rotate_k_1,0.2,0.125,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
permutation_reverse,0.0125,0.0312,0.25,0.0,0.0,0.25,0.0312,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
permutation_reverse -> extension_append_boundary_side_last,0.1469,0.0625,0.1562,0.1562,0.25,0.0,0.0625,0.1562,0.5,0.25,0.5,0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
permutation_reverse -> iteration_duplicate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permutation_reverse -> partitioning_by_offset_offset_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permutation_reverse -> partitioning_by_offset_offset_1,0.1125,0.0,0.375,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
permutation_reverse -> reindexing_rotate_k_-1,0.2167,0.5417,0.0,0.0,0.0,0.3333,0.5417,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.6667,0.3333,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.3333,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1,0.1375,0.0,0.25,0.125,0.3333,0.3333,0.0,0.25,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.3333
reindexing_rotate_k_-1 -> iteration_duplicate,0.15,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_0,0.25,0.625,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> permutation_reverse,0.25,0.625,1.0,0.0,0.0,1.0,0.625,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1,0.0125,0.0312,0.0,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> extension_append_boundary_side_last,0.05,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> iteration_duplicate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_0,0.0375,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_1,0.225,0.5625,0.375,0.0,0.0,0.5,0.5625,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5
reindexing_rotate_k_1 -> permutation_reverse,0.2125,0.5312,0.0,0.0,0.0,0.5,0.5312,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
