chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
iteration_tile_axis_1 -> extension_pad_pad_val_9,0.7875,1.0,0.9583,0.9583,0.3333,0.0,1.0,0.9583,0.0,0.3333,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0
iteration_tile_axis_1 -> partitioning_crop_quadrant_4,0.65,0.875,0.5,0.5,0.5,0.0,0.875,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
iteration_tile_axis_1 -> permutation_transpose,0.7375,0.625,0.625,0.625,1.0,0.0,0.625,0.625,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_0_shift_-1,0.25,0.25,0.5,0.5,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.0,1.0,0.3333,1.0,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.0,1.0,0.3333,1.0
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_0_shift_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_1_shift_1,0.3875,0.875,0.125,0.125,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
partitioning_crop_quadrant_1 -> extension_pad_pad_val_1,0.3583,0.3333,0.4167,0.4167,0.3333,0.0,0.3333,0.4167,0.0,0.3333,0.0,0.3333,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.6667,0.0,0.3333,0.6667,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333,0.6667,0.0,0.3333,0.6667,0.6667
partitioning_crop_quadrant_1 -> iteration_tile_axis_0,0.8,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
partitioning_crop_quadrant_1 -> iteration_tile_axis_1,0.4875,0.0,0.625,0.625,1.0,0.0,0.0,0.625,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
partitioning_crop_quadrant_2,0.05,0.125,0.375,0.0,0.0,1.0,0.125,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
